data,headline,main_headline,project,server,spider,url
,Home - SuperDataScience - Big Data | Analytics Careers | Mentors | Success,"SUBSCRIBERS,VIDEOS ONLINE,HOURS OF CONTENT,Systems Engineer,Data Analyst,Media Analyst,Data Analyst,Copyright 2018 Super Data Science",Example,,secondspider,https://www.superdatascience.com
directors,popularity,stars,title,writers
,84,,The Shawshank Redemption,
,141,,The Godfather,
,505,,12 Angry Men,
,554,,The Godfather: Part II,
,165,,Pulp Fiction,
,122,,The Dark Knight,
,293,,Schindler's List,
,378,,The Lord of the Rings: The Return of the King,
,482,,"The Good, the Bad and the Ugly",
,286,,Fight Club,
,280,,Forrest Gump,
,199,,The Lord of the Rings: The Fellowship of the Ring,
,800,,Singin' in the Rain,
,166,,Inception,
,810,,Star Wars: Episode V - The Empire Strikes Back,
,"3,272",,The Bridge on the River Kwai,
,596,,The Lord of the Rings: The Two Towers,
,"3,066",,On the Waterfront,
,459,,One Flew Over the Cuckoo's Nest,
,396,,Room,
,,,Wild Strawberries,
,661,,Fargo,
,,,Dial M for Murder,
,"1,192",,Gran Torino,
,,,Stalker,
,,,"Paris, Texas",
,669,,Jaws,
,900,,The Handmaiden,
,"1,201",,Beauty and the Beast,
,492,,Pirates of the Caribbean: The Curse of the Black Pearl,
,778,,The Best Years of Our Lives,
,"4,108",,Castle in the Sky,
,,,PK,
,"2,052",,The Bourne Ultimatum,
,"4,425",,Tangerines,
,196,,Guardians of the Galaxy,
,"2,928",,Before Sunset,
,"3,448",,Gangs of Wasseypur,
,"4,537",,Paper Moon,
,809,,The Help,
,666,,The Wizard of Oz,
,"2,248",,In the Mood for Love,
,216,,La La Land,
,"1,509",,Groundhog Day,
,,,La Haine,
,"1,139",,Dead Poets Society,
,682,,The Terminator,
,110,,Blade Runner 2049,
,"2,307",,Gandhi,
,372,,Donnie Darko,
,"4,376",,The Maltese Falcon,
,,,Barry Lyndon,
,586,,"Monsters, Inc.",
,"1,761",,Butch Cassidy and the Sundance Kid,
,244,,Harry Potter and the Deathly Hallows: Part 2,
,763,,Catch Me If You Can,
,671,,Rocky,
,"3,103",,Amores Perros,
,"4,323",,Nausicaä of the Valley of the Wind,
,339,,The Princess Bride,
,416,,Prisoners,
,"1,998",,Before Sunrise,
,655,,Spotlight,
,,,Hachi: A Dog's Tale,
,260,,Logan,
,206,,Mad Max: Fury Road,
,"1,085",,Million Dollar Baby,
,"1,146",,Rush,
,"3,152",,Memories of Murder,
,557,,12 Years a Slave,
,,,Andrei Rublev,
,,,Persona,
,"3,014",,Network,
,656,,The Truman Show,
,"2,484",,Ben-Hur,
,"2,142",,Hotel Rwanda,
,455,,Stand by Me,
,349,,The Grand Budapest Hotel,
,"2,935",,In the Name of the Father,
,743,,Platoon,
,598,,Into the Wild,
,255,,Jurassic Park,
,"1,164",,How to Train Your Dragon,
,"1,529",,Wild Tales,
,533,,Life of Brian,
,,,Mary and Max,
,288,,Gone Girl,
,438,,Hacksaw Ridge,
,,,Rebecca,
,400,,Shutter Island,
,646,,Kill Bill: Vol. 1,
,"2
        ",,A Star Is Born,
,208,,The Big Lebowski,
,"2,667",,Cool Hand Luke,
,,,Come and See,
,986,,Finding Nemo,
,"1,095",,The Deer Hunter,
,344,,The Thing,
,702,,There Will Be Blood,
,"1,076",,Gone with the Wind,
,342,,No Country for Old Men,
,487,,The Sixth Sense,
,363,,Blade Runner,
,600,,V for Vendetta,
,785,,Trainspotting,
,"1,992",,Mr. Smith Goes to Washington,
,230,,The Wolf of Wall Street,
,,,The Seventh Seal,
,758,,Inside Out,
,374,,Warrior,
,"1,651",,The Elephant Man,
,"1,021",,Casino,
,"1,275",,"Lock, Stock and Two Smoking Barrels",
,658,,A Beautiful Mind,
,"4,424",,Judgment at Nuremberg,
,161,,"Three Billboards Outside Ebbing, Missouri",
,"1,671",,The Secret in Their Eyes,
,"1,470",,Howl's Moving Castle,
,"2,470",,My Neighbor Totoro,
,"3,988",,Ran,
,"2,835",,The Third Man,
,"1,362",,Chinatown,
,605,,Pan's Labyrinth,
,"1,908",,The Great Escape,
,,,Children of Heaven,
,"1,474",,Incendies,
,498,,Die Hard,
,"4,591",,The Treasure of the Sierra Madre,
,"1,128",,Downfall,
,761,,Unforgiven,
,460,,Batman Begins,
,"1,808",,Raging Bull,
,,,Yojimbo,
,581,,Heat,
,"3,462",,All About Eve,
,"1,984",,Some Like It Hot,
,,,Rashomon,
,866,,Up,
,"1,226",,Indiana Jones and the Last Crusade,
,"2,599",,A Separation,
,"2,121",,Metropolis,
,,,The Apartment,
,996,,Monty Python and the Holy Grail,
,"1,126",,L.A. Confidential,
,"1,751",,For a Few Dollars More,
,446,,Scarface,
,654,,Snatch,
,"1,079",,The Hunt,
,577,,Good Will Hunting,
,"1,347",,Toy Story 3,
,"1,177",,The Sting,
,"1,606",,To Kill a Mockingbird,
,213,,Inglourious Basterds,
,475,,Full Metal Jacket,
,465,,Taxi Driver,
,715,,Toy Story,
,578,,2001: A Space Odyssey,
,"4,050",,Double Indemnity,
,"1,310",,3 Idiots,
,"1,098",,Amélie,
,607,,Eternal Sunshine of the Spotless Mind,
,368,,A Clockwork Orange,
,"1,657",,Lawrence of Arabia,
,"1,121",,Amadeus,
,476,,Requiem for a Dream,
,,,Like Stars on Earth,
,,,M,
,588,,Your Name.,
,,,Dangal,
,915,,Star Wars: Episode VI - Return of the Jedi,
,812,,Reservoir Dogs,
,"2,193",,North by Northwest,
,642,,Braveheart,
,"1,395",,Citizen Kane,
,"1,388",,Vertigo,
,"1,823",,Das Boot,
,,,Once Upon a Time in America,
,648,,Aliens,
,723,,Oldboy,
,,,Witness for the Prosecution,
,392,,American Beauty,
,133,,Coco,
,377,,Django Unchained,
,"1,229",,WALL·E,
,174,,The Dark Knight Rises,
,103,,The Shining,
,"1,872",,Princess Mononoke,
,"1,132",,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,
,,,Paths of Glory,
,998,,The Lives of Others,
,,,Sunset Boulevard,
,"2,321",,Cinema Paradiso,
,,,The Great Dictator,
,,,Grave of the Fireflies,
,452,,Apocalypse Now,
,370,,Alien,
,541,,Memento,
,358,,The Prestige,
,300,,The Lion King,
,335,,Gladiator,
,276,,Back to the Future,
,239,,Whiplash,
,297,,The Departed,
,14,,Avengers: Infinity War,
,447,,Terminator 2,
,817,,The Pianist,
,"1,032",,Rear Window,
,549,,The Intouchables,
,559,,Raiders of the Lost Ark,
,"1,047",,Casablanca,
,"1,018",,Once Upon a Time in the West,
,,,City Lights,
,580,,American History X,
,278,,Psycho,
,"4,372",,Modern Times,
,142,,Interstellar,
,209,,The Green Mile,
,364,,Léon: The Professional,
,481,,The Usual Suspects,
,853,,Life Is Beautiful,
,"1,208",,It's a Wonderful Life,
,450,,Saving Private Ryan,
,632,,Spirited Away,
,240,,The Silence of the Lambs,
,274,,Se7en,
,714,,City of God,
,"1,383",,Seven Samurai,
,425,,Star Wars: Episode IV - A New Hope,
,307,,The Matrix,
,190,,Goodfellas,
